time,open,high,low,close,Shapes,Shapes
1709215200,1.08379,1.08484,1.08365,1.0846,1,0
1709216100,1.0846,1.08482,1.0843,1.08431,0,0
1709217000,1.08431,1.08453,1.08368,1.08436,0,1
1709217900,1.08436,1.08504,1.08436,1.08468,0,0
1709218800,1.08468,1.0856,1.08467,1.085,1,0
1709219700,1.085,1.085,1.08426,1.08438,0,0
1709220600,1.08438,1.08444,1.0833,1.08331,0,0
1709221500,1.08331,1.08331,1.0819,1.08226,0,0
1709222400,1.08226,1.08252,1.08146,1.08156,0,0
1709223300,1.08156,1.08158,1.08062,1.08092,0,0
1709224200,1.08092,1.08133,1.08046,1.08053,0,1
1709225100,1.08053,1.08104,1.0805,1.08063,0,0
1709226000,1.08063,1.08074,1.08024,1.08047,0,0
1709226900,1.08047,1.08056,1.07979,1.0799,0,0
1709227800,1.0799,1.07994,1.0796,1.07973,0,1
1709228700,1.07973,1.0801,1.07962,1.08,0,0
1709229600,1.08,1.08014,1.07985,1.08012,0,0
1709230500,1.08012,1.08065,1.08011,1.08054,1,0
1709231400,1.08054,1.0806,1.08032,1.08044,0,0
1709232300,1.08044,1.08102,1.08044,1.08092,1,0
1709233200,1.08092,1.08099,1.08067,1.08082,0,0
1709234100,1.08082,1.08113,1.08078,1.08082,1,0
1709235000,1.08082,1.08088,1.08021,1.08021,0,0
1709235900,1.08021,1.08045,1.08011,1.08027,0,1
1709236800,1.08027,1.08065,1.08027,1.08038,0,0
1709237700,1.08038,1.08072,1.08036,1.08072,0,0
1709238600,1.08072,1.08097,1.08061,1.08082,1,0
1709239500,1.08082,1.08093,1.08075,1.08085,0,0
1709240400,1.08085,1.08088,1.08048,1.0806,0,0
1709241300,1.0806,1.08062,1.08038,1.0805,0,1
1709242200,1.0805,1.08053,1.08041,1.08052,0,0
1709243100,1.08052,1.08061,1.08042,1.08048,0,0
1709244000,1.08048,1.08067,1.08022,1.0806,1,1
1709244900,1.0806,1.0806,1.08038,1.08055,0,0
1709245800,1.08055,1.08058,1.0803,1.08036,0,0
1709246700,1.08036,1.08054,1.08025,1.08052,0,1
1709247600,1.08052,1.08054,1.0803,1.08036,0,0
1709248500,1.08036,1.08048,1.08033,1.08047,0,0
1709249400,1.08047,1.08048,1.08024,1.08026,0,0
1709250300,1.08026,1.08058,1.08024,1.08058,0,0
1709251200,1.08058,1.08088,1.08053,1.08088,0,0
1709252100,1.08088,1.08094,1.08077,1.08077,0,0
1709253000,1.08077,1.08099,1.08077,1.0809,0,0
1709253900,1.0809,1.08126,1.08087,1.08114,0,0
1709254800,1.08114,1.08134,1.08112,1.0813,0,0
1709255700,1.0813,1.0815,1.08126,1.08144,0,0
1709256600,1.08144,1.0817,1.08138,1.08169,0,0
1709257500,1.08169,1.08214,1.08166,1.08214,0,0
1709258400,1.08214,1.0822,1.08192,1.08202,1,0
1709259300,1.08202,1.08202,1.08166,1.08187,0,0
1709260200,1.08187,1.08197,1.08166,1.08192,0,0
1709261100,1.08192,1.08198,1.0818,1.08183,0,0
1709262000,1.08183,1.08213,1.08178,1.08198,1,1
1709262900,1.08198,1.08204,1.08189,1.08194,0,0
1709263800,1.08194,1.08195,1.08166,1.0817,0,0
1709264700,1.0817,1.0818,1.08166,1.0817,0,0
1709265600,1.0817,1.0817,1.08155,1.08156,0,0
1709266500,1.08156,1.08158,1.08146,1.08148,0,0
1709267400,1.08148,1.08164,1.08142,1.08148,1,0
1709268300,1.08148,1.08154,1.08123,1.08136,0,0
1709269200,1.08136,1.08142,1.08116,1.08118,0,0
1709270100,1.08118,1.0813,1.08112,1.08123,0,1
1709271000,1.08123,1.08139,1.08116,1.08122,1,0
1709271900,1.08122,1.08128,1.08114,1.08122,0,1
1709272800,1.08122,1.08134,1.08115,1.08128,0,0
1709273700,1.08128,1.08141,1.08112,1.08114,1,0
1709274600,1.08114,1.08119,1.08088,1.08089,0,0
1709275500,1.08089,1.081,1.08082,1.08093,0,1
1709276400,1.08093,1.0817,1.08087,1.08159,0,0
1709277300,1.08159,1.08176,1.0813,1.0814,1,0
1709278200,1.0814,1.08163,1.08092,1.08098,0,1
1709279100,1.08098,1.08146,1.08095,1.08126,0,0
1709280000,1.08126,1.08184,1.08103,1.08143,0,0
1709280900,1.08143,1.082,1.08133,1.08166,1,0
1709281800,1.08166,1.08175,1.08108,1.08123,0,0
1709282700,1.08123,1.08133,1.08092,1.08114,0,0
1709283600,1.08114,1.08158,1.08086,1.08125,1,1
1709284500,1.08125,1.0814,1.08095,1.08126,0,0
1709285400,1.08126,1.08142,1.08097,1.08131,0,0
1709286300,1.08131,1.08178,1.08126,1.08156,0,0
1709287200,1.08156,1.0823,1.08044,1.0805,1,0
1709288100,1.0805,1.08056,1.07992,1.0801,0,0
1709289000,1.0801,1.08091,1.07985,1.08082,0,1
1709289900,1.08082,1.08113,1.08077,1.08106,0,0
1709290800,1.08106,1.08186,1.08104,1.0815,1,0
1709291700,1.0815,1.08164,1.08132,1.08149,0,0
1709292600,1.08149,1.0819,1.08149,1.08186,0,0
1709293500,1.08186,1.0819,1.08166,1.08187,0,0
1709294400,1.08187,1.08238,1.08176,1.08229,0,0
1709295300,1.08229,1.08248,1.08214,1.08214,1,0
1709296200,1.08214,1.08228,1.08192,1.08201,0,0
1709297100,1.08201,1.08214,1.08118,1.08131,0,0
1709298000,1.08131,1.08146,1.08112,1.08124,0,0
1709298900,1.08124,1.08129,1.08078,1.08112,0,1
1709299800,1.08112,1.08154,1.0809,1.08109,1,0
1709300700,1.08109,1.08145,1.08104,1.0813,0,0
1709301600,1.0813,1.0816,1.08112,1.0815,0,0
1709302500,1.0815,1.08208,1.08124,1.08136,1,0
1709303400,1.08136,1.08172,1.08079,1.0811,0,0
1709304300,1.0811,1.0811,1.07982,1.08004,0,1
1709305200,1.08004,1.08224,1.08004,1.08204,0,0
1709306100,1.08204,1.0841,1.08203,1.08396,0,0
1709307000,1.08396,1.08417,1.0833,1.0836,1,0
1709307900,1.0836,1.08411,1.08336,1.08352,0,0
1709308800,1.08352,1.08369,1.08305,1.08328,0,0
1709309700,1.08328,1.08348,1.08234,1.0825,0,1
1709310600,1.0825,1.08317,1.08248,1.0831,0,0
1709311500,1.0831,1.08346,1.08296,1.08308,0,0
1709312400,1.08308,1.08368,1.08288,1.0836,0,1
1709313300,1.0836,1.08369,1.08343,1.0836,0,0
1709314200,1.0836,1.08385,1.08356,1.08364,0,0
1709315100,1.08364,1.084,1.08362,1.08377,1,0
1709316000,1.08377,1.0839,1.08316,1.0837,0,1
1709316900,1.0837,1.0839,1.08339,1.08371,0,0
